 Temp.      De        IWC           Vm        N          Beff
(deg. C)   (cm)     (g/cm3)        (cm/s)   (#/cm3)

 -20.0     0.0143   0.10006E-06    99.501   0.3044E-01   1.0425
 -22.0     0.0109   0.69513E-07    64.133   0.8875E-01   1.0465
 -24.0     0.0123   0.16081E-06    76.044   0.6336E-01   1.0437
 -27.0     0.0116   0.18573E-06    70.874   0.5527E+00   1.0535
 -28.0     0.0131   0.51606E-07    84.498   0.1440E-01   1.0432
 -28.0     0.0109   0.17422E-06    61.802   0.1206E+00   1.0454
 -30.0     0.0118   0.54648E-07    72.171   0.2478E-01   1.0441
 -30.0     0.0100   0.11406E-06    50.493   0.1102E+00   1.0463
 -31.0     0.0115   0.29825E-06    68.735   0.2142E+00   1.0449
 -31.0     0.0102   0.90818E-07    55.639   0.1385E+00   1.0477
 -31.0     0.0099   0.93996E-07    49.837   0.2214E+00   1.0471
 -31.0     0.0100   0.55210E-07    55.646   0.1334E+00   1.0493
 -34.0     0.0093   0.88986E-07    43.219   0.1490E+00   1.0479
 -37.0     0.0111   0.18027E-06    67.450   0.2142E+00   1.0465
 -39.0     0.0094   0.83884E-07    46.133   0.2092E+00   1.0503
 -43.0     0.0076   0.86183E-07    36.680   0.1627E+01   1.0841
 -43.0     0.0089   0.13794E-06    44.674   0.8317E+00   1.0577
 -46.0     0.0072   0.44884E-08    33.212   0.9714E-01   1.0863
 -46.0     0.0085   0.29209E-07    38.262   0.1498E+00   1.0546
 -51.0     0.0094   0.61604E-06    49.721   0.3345E+01   1.0534
 -46.0     0.0104   0.46763E-06    63.758   0.1909E+01   1.0510
 -48.0     0.0090   0.89381E-06    50.633   0.7633E+01   1.0627
 -48.0     0.0095   0.11697E-05    51.893   0.4923E+01   1.0549
 -48.0     0.0097   0.51360E-06    53.574   0.1855E+01   1.0535
 -51.0     0.0090   0.12381E-06    50.386   0.1038E+01   1.0600
